stat,human,ppc_mean,ppc_sd,ppc_q05,ppc_q50,ppc_q95,human_in_90pct_interval,n_ppc_draws,n_accepted,accept_frac,n_unique_posterior_used,ppc_lists_per_draw,group,label,scale,scale_source,q05_delta,median_delta,q95_delta,abs_median_delta
mean_adjacent_distance,1.0178025228713812,1.0023617433913936,0.0097886587720021,0.9876105325341268,1.001373852642364,1.0200537973940724,True,100,10,0.01,10,50,Semantic trajectory,Mean adjacent distance,0.038076285170964515,human list-level SD,-0.7929342424475175,-0.4314672546245437,0.05912537193644045,0.4314672546245437
sd_adjacent_distance,0.1192775875983272,0.1147080304716473,0.0079772300707639,0.1030923882179985,0.1141997802998786,0.1278723753194228,True,100,10,0.01,10,50,Semantic trajectory,SD adjacent distance,0.02527937255282177,human list-level SD,-0.6402532082831324,-0.20086761599159236,0.33999213007113294,0.20086761599159236
switch_rate_distance,0.2191426273974462,0.2216629699016154,0.0053454743101138,0.2146840125517757,0.2208017538017538,0.2316644966144966,True,100,10,0.01,10,50,Semantic trajectory,Distance switch rate,0.03888064236978392,human list-level SD,-0.11467441312480775,0.042672299200411046,0.3220592164593907,0.042672299200411046
n_relevant_bigrams_norm,3.966622162883845,3.6459115660361903,0.3094460189402615,3.216088847908601,3.598387803780401,4.154405423791089,True,100,10,0.01,10,50,Associative structure,Relevant bigrams (CN),1.6812401071160692,human list-level SD,-0.4464164944665032,-0.21902544291255238,0.1116933031233472,0.21902544291255238
