source,model_id,draw,eta,T_min,T_max,a,b,c,d,sigma_q,p_global,p_jump,fixed_T,gamma0,gamma1,latency_cap,max_steps,random_seed,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm,n_lists,mu_latency_raw_pooled,mu_latency_raw_pooled_r2,mu_latency_raw_pooled_n,mu_latency_raw_pooled_n_bins,mu_latency_median_norm,mu_latency_median_norm_r2,mu_latency_median_norm_n,mu_latency_median_norm_n_bins,mu_semantic_pooled,mu_semantic_pooled_r2,mu_semantic_pooled_n,mu_semantic_pooled_n_bins,mu_semantic_tail_quantile,mu_semantic_tail_n_total,mu_semantic_tail_frac,mu_semantic_tail_pooled,mu_semantic_tail_pooled_r2,mu_semantic_tail_pooled_n,mu_semantic_tail_pooled_n_bins,mu_latency_raw_pooled_ccdf,mu_latency_raw_pooled_ccdf_r2,mu_latency_raw_pooled_ccdf_n,mu_latency_raw_pooled_ccdf_n_bins,mu_latency_median_norm_ccdf,mu_latency_median_norm_ccdf_r2,mu_latency_median_norm_ccdf_n,mu_latency_median_norm_ccdf_n_bins
model,M4b_adaptive_T_global,29,0.49821590279223693,0.9664914743787305,1.931721857713419,0.8123674191024568,5.7128227399153335,0.0,0.0,0.543996789217938,0.25,0.15,1.5,-2.8676599747655835,0.6832159884765023,150,500,200493120,9.04,0.894207009921705,0.11993611114507813,0.9990694698498571,0.22606193806193806,0.5307625348328385,-3.334753889123226,0.043673012561800256,1.06,0.14645088245088245,4.1049674928052875,50.0,1.3445337688180101,0.8779332808032917,452.0,12.0,2.13491214587076,0.9374565058140863,239.0,12.0,-0.4917926185075469,0.01908147669838689,402.0,12.0,0.8,402.0,0.20398009950248755,15.171342155493281,0.9179956150871901,82.0,11.0,,,,,,,,
model,M4b_adaptive_T_global,30,0.011135128904317662,0.6617646237650358,1.7044774119759403,1.356892613544317,0.711942788962133,0.0,0.0,0.2342478685115164,0.25,0.15,1.5,-2.3759319817603535,2.048217315249832,150,500,205463651,18.12,1.016506338189601,0.13285824563207713,1.1499710385569142,0.2130831280227228,0.49833512380644396,-2.1108397341243843,0.12698166692611906,1.2,0.07220469958318254,1.8723179264456769,50.0,1.7915608132760548,0.92129377805513,906.0,12.0,2.2094725051717825,0.9112943670421267,493.0,11.0,-3.8849727164756045,0.7606648833739377,856.0,12.0,0.8,856.0,0.20210280373831777,26.817269410806055,0.8510051276347287,173.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,31,0.01245440871901621,1.4514913240708343,3.687679524989186,-1.1917471349070565,1.768603385404328,0.0,0.0,0.57583992714893,0.25,0.15,1.5,-1.0499342270677765,1.6201991237659341,150,500,17845324,18.98,1.0631682785642416,0.09427767485307038,1.1644777387802436,0.21027065993861654,0.48584068032733924,-1.9045515201720276,0.15233579655555707,0.72,0.0405729195984614,1.16759561068915,50.0,1.667585550781166,0.9832402915929637,949.0,11.0,1.8207931463740894,0.9631382361197889,551.0,12.0,-6.253283519367787,0.7974614190134846,899.0,11.0,0.8,899.0,0.20022246941045607,33.953748759274234,0.8349620927477457,180.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,32,0.5594110201486052,0.7939739535895864,3.007170086653005,-1.1785918222849916,3.1730383773952955,0.0,0.0,0.18443860472320395,0.25,0.15,1.5,-0.12157717937034374,0.014272733937358086,150,500,540464878,6.94,0.9097704897508855,0.18781308077114087,1.0738955374340555,0.25214430014430017,0.529325632899025,-3.524636116490264,0.040468493526815544,0.5,0.08187373737373738,4.093708031280529,50.0,1.095506208799349,0.9129248774774199,347.0,12.0,1.580966457155506,0.9562513224956312,179.0,12.0,-0.6785904270609574,0.08112801903692546,297.0,12.0,0.8,297.0,0.20202020202020202,23.38598116001042,0.8470582264774809,60.0,11.0,,,,,,,,
model,M4b_adaptive_T_global,33,0.012412659573292953,0.8632492798020126,3.0307342599259623,1.9296633048034808,3.5602448751182196,0.0,0.0,0.5375392046766462,0.25,0.15,1.5,-2.0791405077699,0.1546854728892906,150,500,719471203,32.76,0.9192351900605548,0.13291178321192554,1.0398885676329117,0.20526218964733867,0.52383424540953,-3.2096903506435432,0.04367576193245523,1.54,0.04767373394468008,-1.6131875417817125,50.0,2.344740418039597,0.9707834825981453,1638.0,11.0,2.5815292121888143,0.9881135123833138,862.0,11.0,-2.998679739740155,0.5080490652969414,1588.0,12.0,0.8,1588.0,0.20151133501259447,12.709256094444903,0.7978966262940294,320.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,34,0.1269762165391357,0.8661975158371658,1.9706875367652956,0.7127728323147449,2.7277094059482985,0.0,0.0,0.4655562238277966,0.25,0.15,1.5,-0.991357974694175,2.0382423316878286,150,500,360921729,15.8,1.0386818648471021,0.09840453486483071,1.1408805669549178,0.2097908267343252,0.49178119896594724,-1.8069646772633157,0.1683257934290224,1.16,0.07999500576822559,2.438545568951657,50.0,1.5875424581776454,0.9669329511555593,790.0,11.0,1.7863416404450674,0.9299015403457925,439.0,12.0,-5.671386730208179,0.7288448065550653,740.0,9.0,0.8,740.0,0.2,22.509502441586303,0.5830574368374044,148.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,35,0.034561025909133715,1.1171382094904603,2.9799914568081505,1.831557246899905,1.6685198686518405,0.0,0.0,0.4244989469381103,0.25,0.15,1.5,-1.390750875894538,1.8844148929401834,150,500,657378156,19.32,1.0598028274123152,0.09215256778917238,1.1556694026186127,0.21400915390079472,0.4865583411797928,-1.816074310714808,0.1670958536922368,0.84,0.046322375680734815,1.1987519044598256,50.0,1.8317784652868843,0.9702105991789792,966.0,11.0,2.0121874856946715,0.9529187998270322,529.0,12.0,-5.77156600799165,0.6848059814191331,916.0,10.0,0.8,916.0,0.20414847161572053,29.695798177741825,0.8398281308495549,187.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,36,0.044753240332400634,1.490183956385449,2.2889330807374773,0.7150397816644252,3.6794953962056676,0.0,0.0,0.4672143260283438,0.25,0.15,1.5,-0.6817403126762911,1.7803740461861333,150,500,148686928,17.76,1.0547424154381586,0.09226627152894026,1.1552348294121808,0.21392316635892483,0.48774536952581876,-1.780756018214189,0.17217365190161701,0.9,0.054122477883313806,1.6663877330414325,50.0,1.726191662924189,0.9528573771334168,888.0,11.0,1.8448851792280745,0.9521170985021531,522.0,12.0,-4.8965707288592295,0.5236862326881602,838.0,9.0,0.8,838.0,0.20047732696897375,26.63841358436086,0.6740708767035877,168.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,37,0.27389568542898746,1.3904482520022028,3.5821363905567614,-0.3311628797254924,3.1763655346157105,0.0,0.0,0.42399483682829786,0.25,0.15,1.5,-0.7765028843340582,0.6231399437618106,150,500,53980564,17.32,1.0025163223316491,0.1348201283531874,1.1357465990157452,0.21251022644366294,0.5019082438653456,-2.240308784266736,0.1107857540052529,1.18,0.07396608946608946,2.0613619411029114,50.0,1.6428998785423874,0.9698577891328506,866.0,11.0,1.9196829666964745,0.9536053360876906,473.0,12.0,-3.9662021992114376,0.7004586184872409,816.0,12.0,0.8,816.0,0.20098039215686275,26.496969099666074,0.762938589467093,164.0,12.0,,,,,,,,
model,M4b_adaptive_T_global,38,0.29994712330815176,1.4554126060843586,3.4654966844550295,-1.0151398526337685,4.263827473046047,0.0,0.0,0.23763101258559277,0.25,0.15,1.5,-2.166792571554235,1.1952769009774538,150,500,860626657,16.04,0.9983179978004487,0.14856698757222128,1.1354676864575912,0.2175033053461846,0.5035386066317968,-2.265710847318008,0.10861850054958558,1.14,0.07636544784764598,2.3558323645544865,50.0,1.6116000968065656,0.9429440603537008,802.0,11.0,2.1025991346737225,0.949142187842253,415.0,12.0,-3.9224844761302187,0.7819018094843782,752.0,12.0,0.8,752.0,0.20079787234042554,17.98460225045165,0.5590763536213721,151.0,12.0,,,,,,,,
