stat,human,ppc_mean,ppc_sd,ppc_q05,ppc_q50,ppc_q95,human_in_90pct_interval,n_ppc_draws,n_accepted,accept_frac,n_unique_posterior_used,ppc_lists_per_draw
mean_adjacent_distance,1.0178025228713812,1.0023617433913936,0.009788658772002181,0.9876105325341267,1.001373852642364,1.0200537973940724,True,100,10,0.01,10,50
sd_adjacent_distance,0.1192775875983272,0.11470803047164732,0.007977230070763926,0.10309238821799858,0.11419978029987865,0.12787237531942286,True,100,10,0.01,10,50
switch_rate_distance,0.2191426273974462,0.22166296990161544,0.005345474310113844,0.21468401255177572,0.2208017538017538,0.23166449661449662,True,100,10,0.01,10,50
n_relevant_bigrams_norm,3.966622162883845,3.6459115660361903,0.3094460189402615,3.216088847908601,3.598387803780401,4.154405423791089,True,100,10,0.01,10,50
p90_adjacent_distance,1.1462641870408583,1.1119786906433071,0.007317523593411715,1.100221138202746,1.1126529299681236,1.1242005182196688,False,100,10,0.01,10,50
mean_adjacent_similarity,0.497442058246191,0.5012923283683766,0.0026689573155068255,0.4965439234397374,0.5016251431117109,0.5052791987768019,True,100,10,0.01,10,50
mu_latency_median_norm,2.930968191805206,2.1011331964689997,0.1944259019397859,1.7591366212524249,2.112590403585892,2.388276105256989,False,100,10,0.01,10,50
mu_latency_raw_pooled,2.523431103381802,1.4234542425272663,0.09615626359859249,1.2541404036520085,1.4264984676393118,1.5844207934490304,False,100,10,0.01,10,50
list_length,20.692923898531376,11.265199999999998,1.1022827370158859,9.536999999999999,11.280000000000001,13.301,False,100,10,0.01,10,50
